"","1980-Jan","1980-Feb","1980-Mar","1980-Apr","1980-May","1980-Jun","1980-Jul","1980-Aug","1980-Sep","1980-Oct","1980-Nov","1980-Dec","1981-Jan","1981-Feb","1981-Mar","1981-Apr","1981-May","1981-Jun","1981-Jul","1981-Aug","1981-Sep","1981-Oct","1981-Nov","1981-Dec","1982-Jan","1982-Feb","1982-Mar","1982-Apr","1982-May","1982-Jun","1982-Jul","1982-Aug","1982-Sep","1982-Oct","1982-Nov","1982-Dec","1983-Jan","1983-Feb","1983-Mar","1983-Apr","1983-May","1983-Jun","1983-Jul","1983-Aug","1983-Sep","1983-Oct","1983-Nov","1983-Dec","1984-Jan","1984-Feb","1984-Mar","1984-Apr","1984-May","1984-Jun","1984-Jul","1984-Aug","1984-Sep","1984-Oct","1984-Nov","1984-Dec","1985-Jan","1985-Feb","1985-Mar","1985-Apr","1985-May","1985-Jun","1985-Jul","1985-Aug","1985-Sep","1985-Oct","1985-Nov","1985-Dec","1986-Jan","1986-Feb","1986-Mar","1986-Apr","1986-May","1986-Jun","1986-Jul","1986-Aug","1986-Sep","1986-Oct","1986-Nov","1986-Dec","1987-Jan","1987-Feb","1987-Mar","1987-Apr","1987-May","1987-Jun","1987-Jul","1987-Aug","1987-Sep","1987-Oct","1987-Nov","1987-Dec","1988-Jan","1988-Feb","1988-Mar","1988-Apr","1988-May","1988-Jun","1988-Jul","1988-Aug","1988-Sep","1988-Oct","1988-Nov","1988-Dec","1989-Jan","1989-Feb","1989-Mar","1989-Apr","1989-May","1989-Jun","1989-Jul","1989-Aug","1989-Sep","1989-Oct","1989-Nov","1989-Dec","1990-Jan","1990-Feb","1990-Mar","1990-Apr","1990-May","1990-Jun","1990-Jul","1990-Aug","1990-Sep","1990-Oct","1990-Nov","1990-Dec","1991-Jan","1991-Feb","1991-Mar","1991-Apr","1991-May","1991-Jun","1991-Jul","1991-Aug","1991-Sep","1991-Oct","1991-Nov","1991-Dec","1992-Jan","1992-Feb","1992-Mar","1992-Apr","1992-May","1992-Jun","1992-Jul","1992-Aug","1992-Sep","1992-Oct","1992-Nov","1992-Dec","1993-Jan","1993-Feb","1993-Mar","1993-Apr","1993-May","1993-Jun","1993-Jul","1993-Aug","1993-Sep","1993-Oct","1993-Nov","1993-Dec","1994-Jan","1994-Feb","1994-Mar","1994-Apr","1994-May","1994-Jun","1994-Jul","1994-Aug","1994-Sep","1994-Oct","1994-Nov","1994-Dec","1995-Jan","1995-Feb","1995-Mar","1995-Apr","1995-May","1995-Jun","1995-Jul","1995-Aug","1995-Sep","1995-Oct","1995-Nov","1995-Dec","1996-Jan","1996-Feb","1996-Mar","1996-Apr","1996-May","1996-Jun","1996-Jul","1996-Aug","1996-Sep","1996-Oct","1996-Nov","1996-Dec","1997-Jan","1997-Feb","1997-Mar","1997-Apr","1997-May","1997-Jun","1997-Jul","1997-Aug","1997-Sep","1997-Oct","1997-Nov","1997-Dec","1998-Jan","1998-Feb","1998-Mar","1998-Apr","1998-May","1998-Jun","1998-Jul","1998-Aug","1998-Sep","1998-Oct","1998-Nov","1998-Dec","1999-Jan","1999-Feb","1999-Mar","1999-Apr","1999-May","1999-Jun","1999-Jul","1999-Aug","1999-Sep","1999-Oct","1999-Nov","1999-Dec","2000-Jan","2000-Feb","2000-Mar","2000-Apr","2000-May","2000-Jun","2000-Jul","2000-Aug","2000-Sep","2000-Oct","2000-Nov","2000-Dec","2001-Jan","2001-Feb","2001-Mar","2001-Apr","2001-May","2001-Jun","2001-Jul","2001-Aug","2001-Sep","2001-Oct","2001-Nov","2001-Dec","2002-Jan","2002-Feb","2002-Mar","2002-Apr","2002-May","2002-Jun","2002-Jul","2002-Aug","2002-Sep","2002-Oct","2002-Nov","2002-Dec","2003-Jan","2003-Feb","2003-Mar","2003-Apr","2003-May","2003-Jun","2003-Jul","2003-Aug","2003-Sep","2003-Oct","2003-Nov","2003-Dec","2004-Jan","2004-Feb","2004-Mar","2004-Apr","2004-May","2004-Jun","2004-Jul","2004-Aug","2004-Sep","2004-Oct","2004-Nov","2004-Dec","2005-Jan","2005-Feb","2005-Mar","2005-Apr","2005-May","2005-Jun","2005-Jul","2005-Aug","2005-Sep","2005-Oct","2005-Nov","2005-Dec","2006-Jan","2006-Feb","2006-Mar","2006-Apr","2006-May","2006-Jun","2006-Jul","2006-Aug","2006-Sep","2006-Oct","2006-Nov","2006-Dec","2007-Jan","2007-Feb","2007-Mar","2007-Apr","2007-May","2007-Jun","2007-Jul","2007-Aug","2007-Sep","2007-Oct","2007-Nov","2007-Dec","2008-Jan","2008-Feb","2008-Mar","2008-Apr","2008-May","2008-Jun","2008-Jul","2008-Aug","2008-Sep","2008-Oct","2008-Nov","2008-Dec","2009-Jan","2009-Feb","2009-Mar","2009-Apr","2009-May","2009-Jun","2009-Jul","2009-Aug","2009-Sep","2009-Oct","2009-Nov","2009-Dec","2010-Jan","2010-Feb","2010-Mar","2010-Apr","2010-May","2010-Jun","2010-Jul","2010-Aug","2010-Sep","2010-Oct","2010-Nov","2010-Dec","2011-Jan","2011-Feb","2011-Mar","2011-Apr","2011-May","2011-Jun","2011-Jul","2011-Aug","2011-Sep","2011-Oct","2011-Nov","2011-Dec","2012-Jan","2012-Feb","2012-Mar","2012-Apr","2012-May","2012-Jun","2012-Jul","2012-Aug","2012-Sep","2012-Oct","2012-Nov","2012-Dec","2013-Jan","2013-Feb","2013-Mar","2013-Apr","2013-May","2013-Jun","2013-Jul","2013-Aug","2013-Sep","2013-Oct","2013-Nov","2013-Dec","2014-Jan","2014-Feb","2014-Mar","2014-Apr","2014-May","2014-Jun","2014-Jul","2014-Aug","2014-Sep","2014-Oct","2014-Nov","2014-Dec","2015-Jan","2015-Feb","2015-Mar","2015-Apr","2015-May","2015-Jun","2015-Jul","2015-Aug","2015-Sep","2015-Oct","2015-Nov","2015-Dec"
"Ranong",0,0,0,1,0,3,1,0,0,0,1,0,2,1,3,0,0,6,3,8,2,8,8,5,11,5,10,10,4,8,1,8,4,5,0,0,3,3,8,5,8,1,1,5,0,0,0,1,1,5,9,1,1,2,3,2,4,1,4,0,2,2,3,2,2,5,21,26,15,13,7,10,4,3,3,7,0,1,1,2,2,3,1,6,10,3,1,4,8,2,1,1,4,5,18,45,26,10,14,9,5,10,14,32,22,11,14,3,10,10,4,0,3,1,2,0,0,3,2,0,1,4,5,7,2,3,1,1,3,4,19,6,13,10,13,15,6,10,12,9,2,6,8,2,8,7,10,7,1,1,2,2,0,0,1,0,1,1,0,2,7,12,11,18,11,24,18,10,17,13,6,3,0,1,2,0,1,0,1,0,0,3,3,4,3,3,1,1,1,0,0,0,0,1,2,1,3,1,1,0,0,0,0,0,1,2,2,0,0,1,0,0,1,1,1,0,5,3,11,5,6,3,6,2,1,6,0,4,1,13,21,7,2,1,3,0,1,1,0,1,2,2,0,0,1,1,1,0,0,1,2,0,2,10,0,1,1,0,0,2,0,0,0,2,1,2,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,3,2,0,2,2,0,2,9,12,4,2,2,3,2,0,0,0,1,0,12,7,4,1,6,3,2,3,5,3,2,3,3,2,2,3,1,0,1,1,0,0,0,1,2,3,1,6,22,26,45,26,10,6,4,9,8,3,5,6,2,5,5,4,3,2,4,4,1,3,5,6,3,5,4,1,3,3,1,0,1,6,2,1,2,4,6,1,1,0,0,2,4,6,6,0,6,5,7,12,12,7,1,1,4,0,1,2,1,0,1,1,2,0,0,0,0,1,2,1,2,0,2,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0
"Ratchaburi",50,118,134,70,33,30,32,20,19,31,28,22,23,60,62,23,7,12,20,37,43,30,23,15,47,103,91,44,21,23,16,20,19,45,62,69,128,157,150,61,33,30,20,68,76,68,51,79,142,103,95,46,15,28,60,73,84,98,57,42,59,61,65,27,20,33,35,62,91,84,37,37,84,55,71,33,18,30,36,31,44,39,44,39,54,56,86,77,35,108,84,108,149,142,121,55,98,57,68,34,19,6,9,6,2,12,9,11,16,16,17,9,8,4,8,8,5,4,16,11,68,66,77,36,28,27,50,99,136,118,65,90,157,155,134,58,19,12,11,7,12,6,8,3,6,19,12,12,8,2,1,3,6,2,2,0,2,4,13,13,4,4,3,7,29,23,26,21,75,64,85,47,16,16,37,14,19,10,10,9,25,7,9,9,5,3,10,6,4,5,1,1,0,7,2,1,3,8,14,19,22,19,6,6,14,41,24,11,4,4,12,9,16,26,16,21,43,27,32,16,6,5,4,2,4,0,3,2,7,6,4,3,1,4,9,9,10,30,3,4,11,5,7,2,0,6,3,7,4,15,2,5,3,4,3,1,0,1,2,3,4,4,1,7,29,26,35,11,3,1,3,5,2,4,2,1,3,1,6,7,3,6,1,2,8,3,5,2,1,3,3,5,3,3,3,5,1,2,1,0,0,3,2,4,2,8,2,0,2,2,1,10,0,2,7,2,1,0,4,5,0,10,4,2,1,5,4,14,3,8,4,3,4,4,5,8,2,2,0,3,2,4,1,1,0,3,1,0,0,0,3,2,2,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Rayong",10,15,9,8,5,9,2,6,14,19,12,8,17,9,16,13,21,11,13,17,27,22,14,6,18,31,36,23,21,18,22,27,18,21,15,10,24,24,47,26,9,14,13,17,42,58,66,70,139,141,120,56,93,50,52,50,22,29,37,27,25,36,51,40,37,45,42,35,34,22,44,23,39,37,31,28,8,7,5,8,12,16,16,16,21,25,40,33,22,41,54,113,84,159,185,155,143,188,128,55,16,18,25,63,46,25,24,24,17,10,8,7,5,3,5,8,5,6,9,5,36,33,46,12,9,1,8,11,13,27,44,40,89,53,59,37,12,15,10,16,10,13,7,11,14,19,14,4,4,3,4,6,0,1,2,2,9,37,86,26,24,31,62,50,46,41,37,68,230,114,96,38,13,12,12,6,5,9,6,2,6,5,3,3,5,5,4,10,2,7,5,2,5,9,4,6,9,8,6,7,5,12,4,5,4,15,15,9,6,5,8,20,15,32,38,17,35,31,32,10,5,6,7,4,6,1,0,0,8,8,11,1,0,1,4,6,3,1,4,3,4,5,3,6,3,0,1,2,1,4,3,7,2,1,1,3,3,2,4,3,3,1,3,4,11,32,27,12,4,7,3,3,5,2,4,2,4,5,9,6,6,4,5,5,6,7,12,0,5,13,7,2,6,5,6,6,1,10,9,6,19,11,11,7,5,1,2,5,3,5,1,4,6,5,10,9,7,3,5,2,0,2,4,3,3,6,4,0,3,8,10,3,4,3,3,5,12,21,15,13,5,7,7,16,8,15,4,3,5,5,6,7,4,7,9,2,3,7,10,1,4,4,1,3,2,6,12,3,2,2,3,0,1,3,3,7,2,4,7,6,1,4,2,1,3,3,3,3,3,1,4,9,3,11,47,28,28,20,10,11,7,6,7,4,6,7,1,4,4,1,4,4,5,3,2,2,2,1,3,3,3,3,1,0,1,0,5,5,1,0,1,0
"Roi Et",15,11,15,17,9,18,15,10,16,6,16,7,32,47,39,35,21,22,13,13,10,20,12,12,7,17,29,20,18,28,26,19,11,16,20,12,19,50,62,50,28,24,18,33,37,56,52,43,29,78,136,87,71,91,83,109,107,72,89,71,66,39,57,69,48,45,35,23,13,13,32,18,20,31,41,21,21,16,16,6,8,11,6,9,13,14,40,32,36,41,40,65,98,136,142,60,77,75,80,44,28,46,38,21,9,25,14,4,7,9,7,6,13,1,1,3,6,21,13,19,31,37,22,19,13,44,53,60,50,84,68,31,82,70,128,67,25,42,41,15,3,3,5,8,8,16,9,3,6,1,1,1,6,5,3,9,6,9,4,7,0,8,44,126,128,78,110,94,59,86,46,28,41,20,12,16,11,5,10,37,6,4,3,3,8,3,5,4,4,3,1,3,9,20,19,6,5,2,16,10,31,74,49,31,60,75,97,33,11,18,16,19,7,8,5,1,15,7,12,18,6,5,1,1,4,1,1,2,2,3,2,3,4,9,7,6,3,1,0,0,0,2,7,6,1,2,1,1,1,3,1,1,4,0,3,2,5,4,9,7,3,4,3,3,2,2,20,5,4,3,19,6,9,1,0,3,1,2,4,1,0,5,0,3,2,4,5,4,1,3,3,4,2,4,3,2,1,0,0,1,0,1,2,0,1,4,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,2,1,1,1,0,0,2,0,0,0,1,0,0,0,0,2,1,0,2,1,0,2,3,0,2,2,1,0,0,0,1,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,2,1,0,2,0,1,0,2,0,1,1,2,1,0,0,0,1,1,0,0,1,1,0,0,2,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"Sakon Nakhon",1,1,1,0,0,0,0,1,2,6,1,1,0,20,15,9,8,7,7,2,2,0,3,1,1,4,6,5,2,3,5,1,0,1,3,3,0,6,10,16,15,28,17,12,14,16,6,1,11,25,30,15,9,1,9,5,4,2,0,2,3,12,5,6,4,8,6,9,8,9,15,6,14,18,18,13,3,10,8,12,3,2,0,2,4,2,5,6,8,15,13,6,12,14,16,8,41,25,85,34,36,50,107,42,42,38,17,6,25,14,38,4,6,5,4,2,3,4,6,3,10,2,17,8,3,9,6,8,4,10,6,8,5,8,20,9,6,9,4,9,7,15,13,34,28,19,20,4,1,8,6,1,1,1,1,0,2,9,9,3,3,2,2,6,4,2,3,3,17,17,13,19,21,32,48,27,25,20,29,11,9,10,17,14,6,3,3,3,0,0,4,0,1,2,3,3,4,0,1,3,0,0,0,0,0,1,4,1,3,2,2,2,1,2,0,1,2,11,27,7,6,12,12,4,6,6,4,2,7,2,1,0,3,4,4,0,3,0,2,0,0,1,2,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,2,0,1,1,1,0,3,3,0,0,0,1,2,2,1,5,6,7,3,13,2,1,3,1,2,2,0,1,0,9,26,9,4,5,5,12,9,1,2,1,0,17,10,11,7,4,1,7,12,0,2,2,0,6,6,9,8,3,3,1,8,3,12,4,1,5,3,9,5,2,4,3,9,7,5,2,1,8,11,6,4,8,7,24,24,31,28,9,13,21,35,51,26,16,10,3,10,5,6,4,5,6,8,3,4,4,5,4,3,2,9,0,2,4,3,9,8,6,4,4,8,7,4,6,2,4,3,9,5,8,2,4,4,1,5,3,4,1,7,10,6,8,4,2,2,4,2,2,3,4,5,2,2,1,0,0,2,1,0,1,1,2,3,2,0,0,1,2,4,0,3,3,1
"Samut Prakan",70,60,47,4,4,5,4,5,3,2,4,3,10,19,34,22,23,20,28,16,31,64,36,25,93,76,60,37,19,16,29,15,18,26,19,26,24,45,30,28,18,14,14,32,128,161,120,85,185,204,157,60,27,28,40,68,80,95,58,60,102,94,106,43,23,23,71,56,33,47,32,31,65,61,54,29,12,20,21,22,18,29,16,19,51,86,127,57,48,40,132,189,168,158,117,52,60,60,30,11,8,12,7,7,22,15,9,13,14,13,26,23,11,2,3,6,19,46,31,22,107,119,66,28,12,15,21,19,30,53,38,47,97,97,138,41,20,9,10,8,14,11,3,9,2,8,9,7,1,6,11,14,15,7,10,7,36,48,49,25,8,11,11,14,24,36,48,61,165,193,116,50,25,48,15,13,9,7,5,6,23,13,18,7,4,3,4,10,5,6,6,3,5,6,8,2,2,4,5,1,2,15,4,3,17,22,35,7,9,16,6,10,10,26,11,17,20,18,12,9,1,10,4,2,2,4,1,2,4,4,9,0,2,4,1,2,3,1,2,0,3,0,5,2,2,2,5,1,8,9,3,2,3,3,5,4,4,3,0,3,3,9,1,3,18,19,14,8,2,7,3,2,4,2,3,1,7,6,8,4,4,1,3,1,8,13,8,14,28,19,17,10,11,4,2,8,3,2,3,0,11,15,10,5,3,6,7,5,6,10,6,2,9,14,3,4,2,6,3,5,1,3,3,1,5,0,4,0,1,0,1,2,0,0,0,0,1,6,0,4,1,5,9,7,6,21,16,17,26,45,61,26,13,5,2,7,3,3,3,3,3,3,2,4,3,3,1,2,2,0,0,1,5,1,6,1,2,0,3,0,2,1,2,21,32,36,27,8,17,11,6,9,2,2,7,2,2,2,6,3,3,0,3,2,2,1,0,1,4,1,1,0,1,0,0,0,0,0,1,1,0,0,3,4,1,2,2,1,0,0,5,4
"Samut Sakhon",39,41,46,12,10,8,3,6,3,0,3,3,14,15,15,10,8,9,17,8,21,30,31,29,56,95,33,25,11,8,6,17,10,15,24,27,35,43,22,10,6,6,11,15,46,68,18,16,87,91,59,37,10,3,13,21,27,17,31,42,35,44,29,15,4,5,7,9,15,34,35,31,39,64,67,26,18,9,11,6,11,6,13,21,15,27,32,16,8,13,26,27,33,60,39,24,14,32,25,16,11,14,8,12,13,19,7,14,17,24,7,4,0,2,2,1,4,2,2,5,9,14,16,12,9,9,14,16,37,36,34,36,61,49,47,13,8,1,1,2,11,9,3,2,3,0,2,3,1,0,3,0,0,0,0,0,8,8,13,5,5,0,5,4,3,1,2,0,42,93,85,24,9,2,2,5,3,4,5,4,3,3,2,2,0,0,2,1,1,1,4,0,3,2,3,0,3,1,1,1,0,1,1,0,6,15,11,20,5,5,6,12,11,12,26,29,25,23,9,2,0,1,7,6,4,3,1,0,0,0,1,2,0,0,1,0,1,1,0,0,3,4,0,0,0,0,0,3,18,11,9,6,10,4,3,3,0,1,4,1,11,7,2,2,12,10,10,4,2,1,3,9,8,11,7,2,2,3,2,0,0,1,0,1,1,1,3,8,0,3,3,3,3,0,3,4,3,0,0,2,2,0,1,1,1,2,0,4,1,2,8,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Samut Songkhram",27,35,32,12,5,17,2,5,13,10,4,3,9,24,7,6,3,5,5,4,6,5,19,29,52,52,53,27,8,19,28,23,12,13,12,11,43,45,45,16,7,10,6,8,13,34,22,16,51,56,72,39,25,10,4,37,58,50,36,38,47,37,39,15,7,8,18,42,11,18,11,5,16,25,32,22,8,14,33,29,30,41,18,22,29,38,34,12,9,10,21,35,39,25,42,30,29,40,20,13,7,13,9,16,9,6,8,4,5,3,2,5,4,2,4,3,2,0,8,2,12,6,12,4,4,4,9,8,17,25,12,31,29,26,37,14,2,2,1,1,2,0,1,1,59,21,31,3,2,3,0,3,0,1,0,8,8,2,4,2,2,0,0,0,1,0,3,2,15,43,65,23,4,5,6,12,12,3,2,0,5,4,16,9,1,1,2,0,0,2,3,1,1,2,1,0,1,7,2,5,1,2,3,0,4,8,14,8,4,20,33,25,38,29,17,8,14,4,9,2,0,0,2,2,1,1,0,0,0,0,1,1,2,1,0,3,1,5,2,1,2,4,4,1,0,2,0,1,1,1,3,0,2,2,1,0,0,1,2,1,2,2,1,4,28,50,25,10,0,1,0,3,0,0,1,1,2,0,1,0,0,0,1,2,0,2,1,1,0,0,1,0,0,1,0,2,0,1,0,0,0,0,2,2,0,0,1,0,0,1,0,1,1,2,11,3,1,1,1,2,7,6,4,0,0,0,3,2,4,3,1,0,2,6,4,3,3,4,7,9,7,5,13,6,10,5,5,5,30,11,6,7,5,1,0,1,0,0,2,0,1,1,3,1,1,0,2,2,3,0,0,3,0,3,3,2,1,3,2,6,0,1,0,0,3,1,2,1,0,2,4,1,0,0,2,0,1,0,0,0,0,1,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Saraburi",27,32,20,6,8,2,1,0,3,13,0,1,37,30,33,25,7,4,14,10,7,10,6,2,37,68,46,20,14,17,7,9,9,5,9,9,6,57,28,10,6,9,5,23,26,23,20,15,46,63,107,52,14,22,23,34,36,57,52,51,74,45,34,16,7,12,9,10,6,5,6,2,9,13,13,10,9,14,4,6,9,12,6,8,8,19,36,5,22,50,104,119,103,216,165,117,107,60,30,10,5,4,2,1,3,3,8,3,5,4,7,6,1,8,3,7,4,3,8,8,11,16,9,10,6,15,12,19,16,28,63,57,97,76,88,29,18,15,17,8,9,4,5,4,8,15,21,4,2,5,3,3,2,1,2,3,3,11,21,10,3,6,12,12,10,12,18,21,72,79,136,74,30,35,43,47,62,51,47,23,24,19,18,8,13,9,10,8,11,17,13,4,9,12,22,7,10,6,4,11,5,6,13,6,13,27,20,17,7,20,32,35,16,21,10,16,51,78,67,24,8,8,10,12,7,12,7,7,16,14,37,18,3,12,6,4,6,2,6,1,2,5,3,10,6,4,6,12,3,0,0,0,5,5,12,4,3,2,8,6,7,12,4,29,118,20,15,11,11,12,10,4,5,8,5,9,4,22,23,5,8,4,6,4,7,3,5,3,2,6,10,4,4,2,3,6,6,4,4,0,4,2,2,1,2,5,4,2,1,2,0,1,1,1,0,1,1,2,0,1,0,0,1,1,2,1,0,2,4,3,1,1,2,0,2,0,2,2,4,4,8,9,1,1,4,2,0,2,2,3,0,5,4,0,1,0,2,2,0,1,1,4,1,0,1,1,1,1,0,2,0,2,3,1,0,0,0,0,0,0,0,0,1,1,1,3,1,1,2,1,0,1,0,0,1,1,0,0,0,0,0,4,2,1,0,1,1,1,10,4,2,2,2,2,2,0,0,1,0,0,0,0,0,1,0,1,1,0,2,1,1,4
"Satun",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,8,2,0,4,9,0,2,1,5,3,0,3,7,10,0,2,3,4,3,7,2,8,19,12,10,4,5,2,2,8,1,3,0,1,1,0,2,6,3,2,1,4,1,0,2,5,1,2,6,2,9,2,1,5,7,6,5,3,5,5,8,5,2,1,0,0,2,4,4,4,2,0,2,1,2,1,1,1,0,5,4,16,6,20,22,9,9,8,5,9,17,4,6,10,6,6,5,1,4,3,7,14,6,7,5,7,7,6,0,2,15,3,9,3,2,1,2,2,2,0,0,1,6,0,2,0,5,0,0,1,0,21,40,33,29,13,11,11,8,5,5,11,11,0,13,6,3,5,3,0,3,1,3,3,9,8,7,4,1,1,1,1,0,10,4,3,3,5,6,4,1,1,0,0,0,0,0,2,0,1,1,3,6,0,1,0,2,0,1,3,2,1,0,2,5,0,1,1,1,1,1,2,4,0,2,0,1,0,0,0,1,0,0,1,2,2,0,2,1,0,1,0,0,2,3,11,6,1,8,10,25,11,3,2,2,3,1,1,2,5,1,0,1,0,0,2,0,0,1,0,2,0,1,1,0,2,0,2,0,1,0,0,1,0,0,1,1,2,1,0,0,2,2,5,4,1,4,6,9,1,2,3,3,1,5,0,1,0,0,1,1,1,3,1,1,0,2,2,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,1,1,2,2,3,3,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Sing Buri",35,31,45,18,11,3,4,3,0,0,2,1,8,2,7,15,13,15,32,43,23,15,7,11,23,19,21,3,4,3,4,3,2,7,2,3,5,9,17,7,5,3,6,3,16,8,8,10,19,38,70,64,28,15,24,27,34,26,38,42,51,60,38,15,4,5,8,7,10,8,9,6,17,18,5,7,3,4,4,2,1,5,4,8,1,5,11,9,14,14,9,10,16,29,47,16,28,35,21,4,3,1,0,5,1,6,1,4,5,10,9,4,0,0,0,0,1,2,7,8,19,21,14,5,4,6,1,4,4,13,8,7,10,16,23,2,2,2,2,2,1,0,2,1,0,1,1,0,0,0,1,2,1,0,0,0,0,2,5,2,1,1,3,1,0,3,1,5,21,22,16,4,1,1,2,1,5,3,1,5,3,15,14,6,4,1,3,0,2,0,0,0,1,2,4,0,1,1,2,0,0,0,3,0,1,2,6,0,6,10,3,1,2,5,4,1,5,3,2,4,3,1,1,0,1,1,0,2,1,1,1,0,1,2,0,0,1,0,0,1,2,0,7,9,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,9,5,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,2,2,1,0,4,0,1,1,0,1,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,4,3,1,1,1,1,0,0,0,2,6,2,7,7,5,4,0,2,0,1,4,8,3,3,1,5,4,4,3,5,10,13,13,14,4,4,7,1,5,4,6,1,0,0,4,0,3,2,3,1,2,2,3,1,0,0,1,6,9,2,0,3,4,2,3,1,2,1,0,0,1,2,1,0,3,3,7,2,0,1,7,3,7,2,1,1,3,1,1,1,1,0,0,0,0,0,0,1,1,3,1,1,0,0,0,0,0,0,0,1,3,3,2,0,1,0
"Si Sa Ket",25,35,70,53,17,22,14,17,3,3,6,4,5,13,28,19,27,29,49,49,27,18,18,31,26,49,93,38,49,39,20,4,11,3,3,1,12,19,38,29,28,25,17,20,12,38,33,20,26,75,145,79,56,78,93,96,41,32,23,33,25,24,30,16,24,46,27,57,38,29,31,21,23,9,10,12,5,4,11,9,4,7,8,9,5,20,64,23,10,27,37,41,72,72,125,79,33,104,150,130,93,53,55,53,24,11,10,10,11,12,8,11,4,11,7,4,2,4,0,8,12,27,26,22,20,49,43,59,41,37,57,18,43,45,82,75,26,28,17,14,6,12,5,7,3,10,5,9,1,5,8,23,11,10,26,18,36,61,62,16,17,64,58,23,65,36,54,33,34,31,27,16,14,21,13,9,5,3,3,2,6,5,5,3,2,2,2,6,8,8,13,15,40,32,41,22,33,47,76,92,53,67,28,8,89,52,29,21,25,27,13,19,16,9,11,14,16,27,14,11,6,6,11,9,3,3,5,1,12,7,3,8,8,4,5,1,0,4,2,0,8,7,17,7,12,7,0,1,6,1,0,1,0,1,3,9,3,1,3,13,2,2,3,0,6,7,6,6,10,11,8,7,7,6,4,1,13,68,67,20,11,6,4,4,10,13,2,1,14,10,13,9,6,8,7,2,9,3,0,2,5,4,4,6,4,7,4,4,3,2,2,1,5,3,5,4,2,6,1,0,1,3,3,1,6,8,8,9,19,11,3,7,3,24,8,8,30,25,23,11,12,8,10,7,4,4,6,8,9,9,7,8,3,4,0,1,2,3,2,3,5,7,7,7,7,9,7,8,5,5,3,5,3,1,3,6,0,5,1,0,3,4,7,11,13,14,25,17,13,3,3,4,3,4,7,5,8,7,5,2,2,3,8,3,6,6,2,1,5,1,5,6,2,4,2,2,3,4,4,2,2,3,0,3,0,2,1,2,0,2,3,3
